student_name,persistente,competente,observador,score_total,history,final_performance
alumno56,397.0,323.0,213.0,18.0,"[18.0, 18.0, 18.0, 18.0]",
alumno57,425.0,365.0,241.0,25.0,"[25.0, 25.0, 25.0, 25.0]",
alumno58,282.0,206.0,175.0,18.0,"[18.0, 18.0, 18.0, 18.0]",
alumno59,485.0,413.0,312.0,23.0,"[23.0, 23.0, 23.0, 23.0]",
alumno60,260.0,220.0,150.0,21.0,"[21.0, 21.0, 21.0, 21.0]",
alumno61,140.0,131.0,84.0,21.0,"[21.0, 21.0, 21.0, 21.0]",
alumno62,599.0,483.0,364.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno63,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno64,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno65,23.48,19.64,14.24,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno66,414.0,346.0,252.0,1012.0,"[1012.0, 1012.0, 1012.0, 1012.0]",
alumno67,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno68,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno69,28.0,77.0,105.0,210.0,"[210.0, 210.0, 210.0, 210.0]",
alumno70,14.0,19.0,1.0,34.0,"[34.0, 34.0, 34.0, 34.0]",
alumno71,240.0,213.0,13.0,16.0,"[16.0, 16.0, 16.0, 16.0]",
alumno72,447.0,421.0,31.0,18.0,"[18.0, 18.0, 18.0, 18.0]",
alumno73,513.0,439.0,37.0,10.0,"[10.0, 10.0, 10.0, 10.0]",
alumno74,158.0,318.0,12.0,7.0,"[7.0, 7.0, 7.0, 7.0]",
alumno75,674.0,604.0,50.0,16.0,"[16.0, 16.0, 16.0, 16.0]",
alumno76,466.0,404.0,32.0,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno77,702.0,573.0,68.0,16.0,"[16.0, 16.0, 16.0, 16.0]",
alumno78,385.0,330.0,42.0,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno79,409.0,399.0,28.0,14.0,"[14.0, 14.0, 14.0, 14.0]",
alumno80,239.0,208.0,12.0,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno81,70.0,61.0,11.0,12.0,"[12.0, 12.0, 12.0, 12.0]",
alumno82,128.0,116.0,3.0,6.0,"[6.0, 6.0, 6.0, 6.0]",
alumno83,366.0,309.0,24.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno84,147.0,145.0,13.0,14.0,"[14.0, 14.0, 14.0, 14.0]",
alumno85,251.0,233.0,17.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno86,577.0,487.0,38.0,16.0,"[16.0, 16.0, 16.0, 16.0]",
alumno87,726.0,559.0,63.0,18.0,"[18.0, 18.0, 18.0, 18.0]",
alumno88,130.0,111.0,8.0,12.0,"[12.0, 12.0, 12.0, 12.0]",
alumno89,218.0,196.0,18.0,14.0,"[14.0, 14.0, 14.0, 14.0]",
alumno90,231.0,210.0,17.0,13.0,"[13.0, 13.0, 13.0, 13.0]",
alumno91,133.0,121.0,10.0,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno92,333.0,259.0,20.0,18.0,"[18.0, 18.0, 18.0, 18.0]",
alumno93,300.0,265.0,28.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno94,162.0,171.0,16.0,22.0,"[22.0, 22.0, 22.0, 22.0]",
alumno95,244.0,212.0,16.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno96,239.0,200.0,20.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno97,219.0,196.0,17.0,13.0,"[13.0, 13.0, 13.0, 13.0]",
alumno98,338.0,257.0,49.0,16.0,"[16.0, 16.0, 16.0, 16.0]",
alumno99,510.0,501.0,42.0,22.0,"[22.0, 22.0, 22.0, 22.0]",
alumno100,368.0,292.0,22.0,16.0,"[16.0, 16.0, 16.0, 16.0]",
alumno101,265.0,211.0,34.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno102,453.0,426.0,33.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno103,321.0,315.0,31.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno104,382.0,324.0,35.0,16.0,"[16.0, 16.0, 16.0, 16.0]",
alumno105,627.0,597.0,57.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno106,342.0,328.0,17.0,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno107,260.0,199.0,11.0,13.0,"[13.0, 13.0, 13.0, 13.0]",
alumno108,351.0,281.0,36.0,14.0,"[14.0, 14.0, 14.0, 14.0]",
alumno109,123.0,124.0,14.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno110,216.0,183.0,10.0,14.0,"[14.0, 14.0, 14.0, 14.0]",
alumno111,213.0,191.0,19.0,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno112,598.0,559.0,46.0,18.0,"[18.0, 18.0, 18.0, 18.0]",
alumno113,959.0,849.0,66.0,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno114,247.0,242.0,13.0,14.0,"[14.0, 14.0, 14.0, 14.0]",
alumno115,577.0,509.0,31.0,16.0,"[16.0, 16.0, 16.0, 16.0]",
alumno116,595.0,524.0,45.0,16.0,"[16.0, 16.0, 16.0, 16.0]",
alumno117,782.0,666.0,75.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno118,387.0,338.0,40.0,13.0,"[13.0, 13.0, 13.0, 13.0]",
alumno119,202.0,172.0,15.0,6.0,"[6.0, 6.0, 6.0, 6.0]",
alumno120,329.0,307.0,17.0,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno121,442.0,407.0,46.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno122,355.0,290.0,19.0,10.0,"[10.0, 10.0, 10.0, 10.0]",
alumno123,225.0,180.0,11.0,14.0,"[14.0, 14.0, 14.0, 14.0]",
alumno124,602.0,555.0,61.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno125,390.0,345.0,27.0,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno126,419.0,374.0,36.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno127,253.0,224.0,17.0,13.0,"[13.0, 13.0, 13.0, 13.0]",
alumno128,449.0,441.0,44.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno129,208.0,176.0,12.0,14.0,"[14.0, 14.0, 14.0, 14.0]",
alumno130,125.0,111.0,11.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno131,517.0,486.0,38.0,14.0,"[14.0, 14.0, 14.0, 14.0]",
alumno132,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno133,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno134,22.14,19.74,1.74,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno135,392.0,349.0,31.0,772.0,"[772.0, 772.0, 772.0, 772.0]",
alumno136,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno137,28.0,77.0,105.0,210.0,"[210.0, 210.0, 210.0, 210.0]",
alumno138,210.0,210.0,180.0,600.0,"[600.0, 600.0, 600.0, 600.0]",
alumno139,392.0,349.0,31.0,772.0,"[772.0, 772.0, 772.0, 772.0]",
alumno140,308.0,351.0,569.0,1228.0,"[1228.0, 1228.0, 1228.0, 1228.0]",
alumno141,35.0,35.0,30.0,100.0,"[100.0, 100.0, 100.0, 100.0]",
alumno142,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno143,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno144,10.0,0.0,0.0,10.0,"[10.0, 10.0, 10.0, 10.0]",
alumno145,40.0,0.0,0.0,40.0,"[40.0, 40.0, 40.0, 40.0]",
alumno146,100.0,0.0,0.0,100.0,"[100.0, 100.0, 100.0, 100.0]",
alumno147,40.0,0.0,0.0,40.0,"[40.0, 40.0, 40.0, 40.0]",
alumno148,432.0,0.0,0.0,432.0,"[432.0, 432.0, 432.0, 432.0]",
alumno149,-32.0,0.0,0.0,-32.0,"[-32.0, -32.0, -32.0, -32.0]",
alumno150,40.0,0.0,0.0,40.0,"[40.0, 40.0, 40.0, 40.0]",
alumno151,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno152,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno153,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno154,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno155,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno156,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno157,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno158,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
alumno159,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]",
